gene_a	gene_b
URB2	DDX55
URB2	TWNK
URB2	DTL
URB2	PDS5A
URB2	TTK
URB2	AHSA1
URB2	NCAPD3
URB2	UTP20
URB2	NUP133
URB2	LETM1
URB2	ASPM
URB2	RBM12
URB2	NOL9
URB2	DDX10
URB2	DDX18
URB2	HEATR1
URB2	KPNB1
URB2	WDR75
URB2	WDR74
URB2	AHCTF1
URB2	PES1
URB2	URB1
URB2	IMP4
URB2	CENPF
URB2	BAZ1A
URB2	SYNCRIP
URB2	LARP4B
URB2	FUS
URB2	DHX30
URB2	TCF3
URB2	SRRT
URB2	NSD2
URB2	SSB
URB2	RFC4
URB2	TCERG1
URB2	NOC2L
URB2	RAB14
URB2	RRS1
URB2	RCL1
URB2	NAT10
URB2	FBXO28
URB2	CDK4
URB2	MCMBP
URB2	SLAMF1
URB2	SF3B3
URB2	EZH2
URB2	NOP58
URB2	SUZ12
URB2	ABCF1
URB2	POLR3E
URB2	MAP3K4
URB2	BRCA2
URB2	COIL
URB2	ABCF2
URB2	SRSF2
URB2	UMPS
URB2	UBA2
URB2	GINS1
URB2	MKI67
URB2	RBM8A
URB2	WDR12
URB2	PDCD2L
URB2	MCM7
URB2	MYC
URB2	PFAS
URB2	TAF11
URB2	ZWINT
URB2	DEK
URB2	THAP12
URB2	CDC25A
URB2	CDC20
URB2	IPO4
URB2	RFWD3
URB2	HNRNPU
URB2	HNRNPD
URB2	YTHDF2
URB2	ZNF131
URB2	USP10
URB2	NEK2
URB2	DAZAP1
URB1	PES1
URB1	NOP53
URB1	PDCD11
URB1	PPP4C
URB1	NIPBL
URB1	PFAS
URB1	IMP4
URB1	ABCF1
URB1	DDX51
URB1	DDX54
URB1	DDX55
URB1	NXF1
URB1	TAF1
URB1	CDC23
URB1	UTP20
URB1	IPO4
URB1	FANCD2
URB1	TNPO2
URB1	NLRP3
URB1	NOC2L
URB1	RRS1
URB1	NOL9
URB1	NAT10
URB1	DHX30
URB1	NOP58
URB1	DDX10
URB1	DDX18
URB1	CNOT9
URB1	CNOT1
URB1	HEATR1
URB1	NPM1
URB1	DIS3
URB1	RFC1
URB1	WDR75
URB1	WDR74
IFITM3	B2M
IFITM3	CPQ
IFITM3	FKBP9
IFITM3	TNFSF10
IFITM3	PRRT1
IFITM3	COL3A1
IFITM3	IFIT3
IFITM3	NF2
IFITM3	SMAD3
IFITM3	LAPTM4A
IFITM3	NEDD4
IFITM3	IFI44L
IFITM3	CTNNB1
IFITM3	KLF2
IFITM3	C3AR1
IFITM3	KLF6
IFITM3	PLXND1
IFITM3	EXT2
IFITM3	SAMD9L
IFITM3	ACTB
IFITM3	RRAS
IFITM3	DDX58
IFITM3	NID1
IFITM3	EPAS1
IFITM3	IRF1
IFITM3	IRF7
IFITM3	CD74
IFITM3	PDGFRB
IFITM3	LUM
IFITM3	CSF1R
IFITM3	ATP6V0B
IFITM3	LRRC32
IFITM3	STAB1
IFITM3	FYN
IFITM3	FCGR2B
IFITM3	IFI27
IFITM3	EGR1
IFITM3	LAMC1
IFITM3	TP53
IFITM3	NAMPT
IFITM3	CCR5
IFITM3	STAT3
IFITM3	FTH1
IFITM3	RPS27
IFITM3	TNFRSF1B
IFITM3	RARRES2
IFITM3	IFITM2
IFITM3	GPX1
IFITM3	DHX58
IFITM3	ANXA2
IFITM3	PIGT
IFITM3	BCL3
IFITM3	MYC
IFITM3	SOCS1
IFITM3	ARPC1B
IFITM3	SRPX
IFITM3	HLA-A
IFITM3	NFKBIA
IFITM3	HLA-F
IFITM3	THBS1
IFITM3	MYD88
IFITM3	TAF1
IFITM3	BTN3A2
IFITM3	PML
IFITM3	SYNGR2
IFITM3	ID3
IFITM3	TMSB4X
IFITM3	MSN
IFITM3	ELF4
IFITM3	SERPINA1
IFITM3	OSMR
IFITM3	PCDH9
IFITM2	B2M
IFITM2	CPQ
IFITM2	DYSF
IFITM2	CCND3
IFITM2	TNFSF10
IFITM2	RARRES2
IFITM2	IFIT3
IFITM2	DSE
IFITM2	LAPTM4A
IFITM2	HTRA1
IFITM2	SPI1
IFITM2	IFI44L
IFITM2	LAMA2
IFITM2	TRIOBP
IFITM2	IL2RG
IFITM2	KLF6
IFITM2	KLF2
IFITM2	LTBP2
IFITM2	C3AR1
IFITM2	CALR
IFITM2	DPYD
IFITM2	GYPC
IFITM2	PLXND1
IFITM2	RRAS
IFITM2	LAMB1
IFITM2	DDX58
IFITM2	NID1
IFITM2	IRF2
IFITM2	IRF1
IFITM2	IRF7
IFITM2	CD74
IFITM2	PDGFRB
IFITM2	MYH9
IFITM2	LUM
IFITM2	ATP6V0B
IFITM2	LRRC32
IFITM2	STAB1
IFITM2	FCGR2B
IFITM2	IFI27
IFITM2	CTSS
IFITM2	EGR1
IFITM2	TNFRSF1B
IFITM2	IL1B
IFITM2	STAT3
IFITM2	PRRT1
IFITM2	COL1A2
IFITM2	EFHD2
IFITM2	GPX1
IFITM2	FAS
IFITM2	HLA-DQA1
IFITM2	BCL3
IFITM2	MAFB
IFITM2	FSTL3
IFITM2	LYN
IFITM2	RNASE4
IFITM2	FLI1
IFITM2	NAMPT
IFITM2	SOCS1
IFITM2	ARPC1B
IFITM2	SRPX
IFITM2	PXDN
IFITM2	HLA-A
IFITM2	NFKBIA
IFITM2	HLA-F
IFITM2	THBS1
IFITM2	MYD88
IFITM2	STAT6
IFITM2	RHOB
IFITM2	TNFAIP3
IFITM2	NCF2
IFITM2	BTN3A2
IFITM2	PML
IFITM2	SERPINA1
IFITM2	TACC1
IFITM2	ID3
IFITM2	MSN
IFITM2	ELF4
IFITM2	BCL6
IFITM2	RFTN1
IFITM2	OSMR
IFITM2	PDIA4
REV3L	EPG5
REV3L	SMG1
REV3L	PIK3CA
REV3L	PHIP
REV3L	VEZF1
REV3L	WDR7
REV3L	LEPROTL1
REV3L	DIAPH2
REV3L	OSBPL8
REV3L	PIK3C3
REV3L	HNRNPDL
REV3L	CCND1
REV3L	AKAP9
REV3L	CEP76
REV3L	TCF12
REV3L	NTHL1
REV3L	CTCF
REV3L	UBXN7
REV3L	TCF4
REV3L	RPS27A
REV3L	PDS5A
REV3L	PDS5B
REV3L	BAZ2B
REV3L	XPO1
REV3L	ZNF451
REV3L	GTF2B
REV3L	JAK2
REV3L	JAK1
REV3L	TSPYL4
REV3L	TSPYL1
REV3L	DST
REV3L	BLM
REV3L	ZEB1
REV3L	RPS6KA3
REV3L	ZNF292
REV3L	MSH6
REV3L	PRKDC
REV3L	AKAP11
REV3L	ATXN1
REV3L	SMC3
REV3L	SMC4
REV3L	PRKAR1A
REV3L	RNF20
REV3L	ZNF638
REV3L	USP9X
REV3L	TAF1L
REV3L	CTNNB1
REV3L	CHAF1B
REV3L	QKI
REV3L	C2CD5
REV3L	ANKRD12
REV3L	CDK14
REV3L	PGR
REV3L	ETNK1
REV3L	CNOT1
REV3L	ARIH1
REV3L	EPS15
REV3L	TRIP12
REV3L	RBM26
REV3L	DMXL2
REV3L	DMXL1
REV3L	PIK3C2A
REV3L	FAM126B
REV3L	RAD17
REV3L	PDGFRB
REV3L	TNRC6B
REV3L	TNRC6A
REV3L	USP25
REV3L	SETD2
REV3L	EIF3A
REV3L	CLIP1
REV3L	PCF11
REV3L	DYRK1A
REV3L	BARD1
REV3L	BAZ1A
REV3L	NBN
REV3L	TIAL1
REV3L	FUBP1
REV3L	MED1
REV3L	SMARCE1
REV3L	SHPRH
REV3L	RASA1
REV3L	DHX36
REV3L	DDX58
REV3L	SPOP
REV3L	GCC2
REV3L	STAG1
REV3L	TBP
REV3L	CLK4
REV3L	CREBBP
REV3L	SSB
REV3L	RFC4
REV3L	TCERG1
REV3L	GCNA
REV3L	TRIM33
REV3L	DTL
REV3L	NCOA3
REV3L	TBK1
REV3L	KDM6A
REV3L	FBXW7
REV3L	HNRNPA3
REV3L	TMEM30A
REV3L	NCOA2
REV3L	BBX
REV3L	EP300
REV3L	RANBP6
REV3L	IRS1
REV3L	CDK6
REV3L	USP8
REV3L	KTN1
REV3L	ERCC2
REV3L	SF3B1
REV3L	ERCC5
REV3L	USP6
REV3L	SMARCA1
REV3L	PRKX
REV3L	FYN
REV3L	RB1
REV3L	CDYL
REV3L	MED13
REV3L	FNBP1L
REV3L	RBM39
REV3L	NOTCH1
REV3L	CUL4B
REV3L	CNTRL
REV3L	BPTF
REV3L	ZFX
REV3L	ADD3
REV3L	WWP1
REV3L	PRPF4B
REV3L	DHX58
REV3L	SNRNP200
REV3L	DCK
REV3L	CACNA1A
REV3L	MAP3K4
REV3L	BRCA1
REV3L	CREB1
REV3L	TRIM23
REV3L	SETD7
REV3L	NIN
REV3L	ZBTB20
REV3L	PNRC1
REV3L	MED23
REV3L	DOCK4
REV3L	TLE4
REV3L	ARHGAP5
REV3L	RICTOR
REV3L	KANSL1
REV3L	PPM1D
REV3L	MAML1
REV3L	JUN
REV3L	JMJD1C
REV3L	CHEK2
REV3L	MYO9A
REV3L	MAN2A1
REV3L	HERC1
REV3L	PTPN2
REV3L	LAMC1
REV3L	ESR1
REV3L	ERBIN
REV3L	PHF3
REV3L	PPP2R5C
REV3L	TRRAP
REV3L	AUTS2
REV3L	NSMAF
REV3L	HSP90AB1
REV3L	GMFB
REV3L	MSH2
REV3L	MSH3
REV3L	ERCC4
REV3L	ERCC6
REV3L	NUP50
REV3L	TBL1XR1
REV3L	SNRK
REV3L	UBE2A
REV3L	ZMIZ1
REV3L	MAP4K3
REV3L	C2CD3
REV3L	BIRC6
REV3L	SOS1
REV3L	FOXO3
REV3L	FOXO1
REV3L	KRCC1
REV3L	FMR1
REV3L	RB1CC1
REV3L	DCLRE1C
REV3L	DCLRE1A
REV3L	SON
REV3L	NIPBL
REV3L	HNRNPA2B1
REV3L	WDFY3
REV3L	OSR2
REV3L	EPC1
REV3L	ABCC5
REV3L	EIF4A2
REV3L	PICALM
REV3L	TPR
REV3L	CCNC
REV3L	UBR3
REV3L	DHX15
REV3L	ZNF143
REV3L	CDC23
REV3L	RBPJ
REV3L	HDAC2
REV3L	DDX3X
REV3L	RFC1
REV3L	ATF1
REV3L	ASH1L
REV3L	TIA1
REV3L	PMS1
REV3L	PMS2
REV3L	UBR5
REV3L	KRAS
REV3L	SETD1B
REV3L	ANKRD36
REV3L	DDX5
REV3L	XRN1
REV3L	UBB
REV3L	CCNI
REV3L	ZNF217
REV3L	AKT3
REV3L	SLC7A6
REV3L	TRIM37
REV3L	FEN1
REV3L	THAP12
REV3L	EED
REV3L	POLG
REV3L	PIK3R4
REV3L	STAG2
REV3L	SACS
REV3L	RAD21
REV3L	FGF2
REV3L	TAF4
REV3L	CDC27
REV3L	POLE
REV3L	KDM5A
REV3L	ASCC3
REV3L	AGO4
REV3L	IPO5
REV3L	RANBP2
REV3L	RAD23B
REV3L	TMX3
REV3L	HNRNPH3
REV3L	NCOR1
REV3L	SCAPER
REV3L	KIN
REV3L	BMPR1A
REV3L	POLD1
REV3L	SPTAN1
REV3L	WRN
REV3L	MACF1
REV3L	MARK3
REV3L	ZFP36L2
REV3L	DIS3
REV3L	BCOR
REV3L	SYNE2
REV3L	WAPL
REV3L	DICER1
REV3L	TAF1
REV3L	KAT6A
REV3L	ZNF131
REV3L	HIVEP1
REV3L	ACVR1
REV3L	ZNF319
REV3L	NRIP1
REV3L	NDUFA5
REV3L	HSPA1L
REV3L	NKTR
REV3L	RPIA
REV3L	NR3C1
REV3L	CLASP2
REV3L	CLASP1
REV3L	EP400
REV3L	KAT6B
REV3L	PRPF38B
REV3L	CREB3L2
REV3L	ASXL1
REV3L	SDHA
REV3L	PTPRK
IL2RG	ERRFI1
IL2RG	B2M
IL2RG	LIFR
IL2RG	PIK3CA
IL2RG	PIK3CB
IL2RG	GPR183
IL2RG	PIK3CD
IL2RG	SIRPG
IL2RG	STK4
IL2RG	CSF3R
IL2RG	GYPC
IL2RG	POU2AF1
IL2RG	CCND3
IL2RG	RASGRP2
IL2RG	JAK2
IL2RG	JAK3
IL2RG	JAK1
IL2RG	CBL
IL2RG	REL
IL2RG	PIK3CG
IL2RG	SPI1
IL2RG	NEDD4
IL2RG	PARVG
IL2RG	KIF21B
IL2RG	FCGR3A
IL2RG	LEPR
IL2RG	SPIB
IL2RG	LEF1
IL2RG	ERBB3
IL2RG	EGFR
IL2RG	PLCG2
IL2RG	CXCR4
IL2RG	ITGB7
IL2RG	HGF
IL2RG	TPSAB1
IL2RG	TCL1A
IL2RG	C3AR1
IL2RG	PTK2B
IL2RG	ARHGEF6
IL2RG	RELB
IL2RG	RELA
IL2RG	SYK
IL2RG	NFATC2
IL2RG	CCND2
IL2RG	SPTAN1
IL2RG	NCSTN
IL2RG	MYCN
IL2RG	TRAF3IP3
IL2RG	TCF7
IL2RG	RAG1
IL2RG	IRF1
IL2RG	IRF4
IL2RG	RIPOR2
IL2RG	IRF8
IL2RG	CD3G
IL2RG	BTK
IL2RG	CD74
IL2RG	IL7R
IL2RG	PDGFRA
IL2RG	CD1D
IL2RG	TNFSF10
IL2RG	FLT3
IL2RG	NLRP1
IL2RG	CSF1R
IL2RG	MTOR
IL2RG	NFKB2
IL2RG	ITK
IL2RG	CSH1
IL2RG	IRS1
IL2RG	IRS2
IL2RG	SLAMF1
IL2RG	INPPL1
IL2RG	FYN
IL2RG	MED12
IL2RG	ETS1
IL2RG	PRKCB
IL2RG	FCGR2B
IL2RG	ABI1
IL2RG	CRLF2
IL2RG	WWP1
IL2RG	IL22
IL2RG	CTSS
IL2RG	KIT
IL2RG	DOCK8
IL2RG	DOCK2
IL2RG	HRAS
IL2RG	TNFRSF17
IL2RG	TNFRSF14
IL2RG	PRLR
IL2RG	PIK3IP1
IL2RG	PTPN6
IL2RG	IL13RA1
IL2RG	TP53
IL2RG	ESR1
IL2RG	LCK
IL2RG	CCR5
IL2RG	IL1B
IL2RG	RAF1
IL2RG	CD79A
IL2RG	STAT6
IL2RG	STAT4
IL2RG	STAT3
IL2RG	CD83
IL2RG	ICAM3
IL2RG	WAS
IL2RG	SGK1
IL2RG	BIRC3
IL2RG	MAP2K2
IL2RG	MAP2K1
IL2RG	DCLRE1C
IL2RG	PTPN22
IL2RG	FAS
IL2RG	STAM2
IL2RG	CASP3
IL2RG	BCL6
IL2RG	HLA-DQA1
IL2RG	BCL3
IL2RG	BCL2
IL2RG	AKT1
IL2RG	AKT2
IL2RG	AKT3
IL2RG	MYC
IL2RG	CD28
IL2RG	KRAS
IL2RG	SOCS1
IL2RG	GRB2
IL2RG	KDM5A
IL2RG	TNF
IL2RG	HLA-A
IL2RG	CCR7
IL2RG	HLA-F
IL2RG	CD79B
IL2RG	PIK3R5
IL2RG	PIK3R3
IL2RG	PIK3R2
IL2RG	PIK3R1
IL2RG	MYD88
IL2RG	OSMR
IL2RG	RHOH
IL2RG	RHOA
IL2RG	FGF2
IL2RG	TNFAIP8
IL2RG	VAV1
IL2RG	TNFAIP3
IL2RG	PRKCZ
IL2RG	NCF2
IL2RG	BTN3A2
IL2RG	PRKCQ
IL2RG	ABL1
IL2RG	CD86
IL2RG	IKZF1
IL2RG	IKZF3
IL2RG	MAPK1
IL2RG	FES
IL2RG	SOS1
IL2RG	STAT5B
IL2RG	CD58
IL2RG	BCL11B
IL2RG	MSN
IL2RG	SERPINA1
IL2RG	ZRSR2
IL2RG	BCL2L11
IL2RG	TNFRSF1B
IL2RG	NRAS
IL2RG	SP140
IL2RG	DGKA
IL2RG	TRAF1
IL2RG	PDGFB
IL2RG	PVRIG
IL2RG	RASA1
IL2RG	LTB
IL2RG	PTPRD
IL2RG	PTPRC
CSMD3	CDH18
CSMD3	RIMS2
CSMD3	NGEF
CSMD3	EXT1
CSMD3	PAX2
CSMD3	RALYL
CCND3	SDF4
CCND3	PIK3CA
CCND3	PPP4C
CCND3	PIK3CG
CCND3	IGF1R
CCND3	DIAPH1
CCND3	WDTC1
CCND3	CCND1
CCND3	CCND2
CCND3	IL7R
CCND3	TCF3
CCND3	GTF2B
CCND3	JAK3
CCND3	JAK1
CCND3	BLM
CCND3	PPARG
CCND3	DCK
CCND3	EIF4A1
CCND3	TSC2
CCND3	TSC1
CCND3	NCOA2
CCND3	LEF1
CCND3	LMO2
CCND3	CUL1
CCND3	PRKD2
CCND3	CTNNB1
CCND3	CDK14
CCND3	CXCR4
CCND3	EWSR1
CCND3	RARA
CCND3	CBFB
CCND3	RELA
CCND3	CDKN2B
CCND3	CDKN2A
CCND3	KLK3
CCND3	ACTB
CCND3	RRAS
CCND3	CCNE1
CCND3	CCNL1
CCND3	IRF1
CCND3	IRF7
CCND3	RALY
CCND3	CREBBP
CCND3	HDAC1
CCND3	MYH9
CCND3	ICAM3
CCND3	TPM3
CCND3	ATP6V0B
CCND3	TGFBR2
CCND3	EP300
CCND3	CDK4
CCND3	CDK6
CCND3	ARPC1B
CCND3	ERCC3
CCND3	USP7
CCND3	EZH2
CCND3	MYBL2
CCND3	CEBPA
CCND3	RB1
CCND3	MED12
CCND3	AURKA
CCND3	AP1B1
CCND3	PRKCB
CCND3	CCNB2
CCND3	DNMT1
CCND3	TRIM28
CCND3	CREB1
CCND3	TCF7L1
CCND3	TCF7L2
CCND3	RUNX1
CCND3	NR3C1
CCND3	HRAS
CCND3	EGR1
CCND3	JUN
CCND3	CASP9
CCND3	CDK11A
CCND3	TNFRSF1B
CCND3	LCK
CCND3	TFDP1
CCND3	FBXO5
CCND3	STAT6
CCND3	STAT4
CCND3	STAT3
CCND3	TAL1
CCND3	MYC
CCND3	CDKN2C
CCND3	MAP2K3
CCND3	MAP2K1
CCND3	FAS
CCND3	AREG
CCND3	MCM7
CCND3	MCM5
CCND3	CASP8
CCND3	PLK1
CCND3	AKT1
CCND3	FSTL3
CCND3	FLII
CCND3	LYN
CCND3	MYB
CCND3	FLI1
CCND3	DGKA
CCND3	GRB2
CCND3	CCNC
CCND3	CCNI
CCND3	ZWINT
CCND3	NFKBIA
CCND3	HLA-F
CCND3	NFKBIE
CCND3	DNM2
CCND3	PIM1
CCND3	PIK3R1
CCND3	MYD88
CCND3	TFEB
CCND3	ETV1
CCND3	ETV4
CCND3	VAV1
CCND3	CDC20
CCND3	BTN3A2
CCND3	IKZF1
CCND3	POLD1
CCND3	MAPK4
CCND3	PML
CCND3	HNRNPD
CCND3	LYL1
CCND3	HMGA1
CCND3	MNAT1
CCND3	SOS1
CCND3	ID3
CCND3	STAT5B
CCND3	MKI67
CCND3	ELF4
CCND3	CABLES1
CCND3	PDGFB
CCND3	RAD21
CCND3	AR
POU3F3	NKX2-1
POU3F3	CACNA1E
POU3F3	RELN
POU3F3	ERBB3
POU3F3	FGFR4
POU3F3	FGFR2
POU3F3	FGFR3
POU3F3	TCF12
POU3F3	SOX11
POU3F3	EN2
POU3F3	JAK3
POU3F3	NEUROG2
POU3F3	PAX3
POU3F3	FAT4
POU3F3	SATB2
POU3F3	LEF1
POU3F3	OLIG2
POU3F3	EGFR
POU3F3	MYOD1
POU3F3	NPAS3
POU3F3	HNF1A
POU3F3	SUZ12
POU3F3	POU2F2
ZNF697	LRRK2
ZNF697	KLF6
ZNF697	EGR1
ZNF697	TRAF1
ZNF697	TRIM28
ZNF697	MXRA5
ZNF697	LRWD1
ZNF697	TRPS1
LAMB1	WLS
LAMB1	FKBP9
LAMB1	PIK3CA
LAMB1	GATA6
LAMB1	WDTC1
LAMB1	UACA
LAMB1	DSP
LAMB1	TCAF1
LAMB1	COL2A1
LAMB1	HTRA1
LAMB1	LAMA2
LAMB1	LAMA3
LAMB1	LAMA4
LAMB1	MXRA5
LAMB1	SEMA5A
LAMB1	ALB
LAMB1	PRKD1
LAMB1	EGFR
LAMB1	CTNNB1
LAMB1	TWIST1
LAMB1	SLIT2
LAMB1	JAG1
LAMB1	LTBP2
LAMB1	ITGB7
LAMB1	NRP1
LAMB1	COL11A1
LAMB1	PTK2B
LAMB1	FBLN2
LAMB1	FBLN1
LAMB1	ADAMTS5
LAMB1	ARHGEF6
LAMB1	PLXND1
LAMB1	CDH2
LAMB1	EXT1
LAMB1	LPP
LAMB1	PAK5
LAMB1	PAK3
LAMB1	SNX7
LAMB1	NID1
LAMB1	TCF4
LAMB1	CEP170
LAMB1	SERPINA12
LAMB1	PDGFRB
LAMB1	PDGFRA
LAMB1	FILIP1L
LAMB1	LUM
LAMB1	NUAK1
LAMB1	TGFBR2
LAMB1	COL5A3
LAMB1	COL5A1
LAMB1	IRS1
LAMB1	LPAR1
LAMB1	COL3A1
LAMB1	SMARCA1
LAMB1	IQGAP1
LAMB1	RGL1
LAMB1	FYN
LAMB1	YWHAE
LAMB1	CALD1
LAMB1	CTNNA1
LAMB1	ACKR3
LAMB1	CACNA1A
LAMB1	INHBA
LAMB1	NTN4
LAMB1	PRRX1
LAMB1	CRP
LAMB1	DMD
LAMB1	HSPG2
LAMB1	DOCK4
LAMB1	EPHB4
LAMB1	LAMC1
LAMB1	DDR2
LAMB1	ERBIN
LAMB1	NFE2L3
LAMB1	COL12A1
LAMB1	FSTL3
LAMB1	SRC
LAMB1	RARRES2
LAMB1	COL1A2
LAMB1	COL1A1
LAMB1	CDH11
LAMB1	CDH13
LAMB1	GLT8D2
LAMB1	ANXA2
LAMB1	CASP3
LAMB1	COL6A3
LAMB1	USH2A
LAMB1	AKT1
LAMB1	NTRK1
LAMB1	FAT4
LAMB1	PXDN
LAMB1	NR3C1
LAMB1	SRPX
LAMB1	THBS2
LAMB1	THBS1
LAMB1	PIK3R1
LAMB1	OS9
LAMB1	ATP10D
LAMB1	STC1
LAMB1	NOTCH3
LAMB1	LRRC17
LAMB1	TNFAIP6
LAMB1	HECW2
LAMB1	COL9A2
LAMB1	SEMA3C
LAMB1	WWTR1
LAMB1	MET
LAMB1	VCAN
LAMB1	GLI3
LAMB1	RFTN1
LAMB1	GPC3
LAMB1	TNC
LAMB1	CNTRL
LAMB1	ACTB
LAMB1	CREB3L1
LAMB1	ADGRL2
LAMB1	PTPRK
U2AF1	MOV10
U2AF1	NCBP1
U2AF1	NELFE
U2AF1	PDCD11
U2AF1	FXR1
U2AF1	HNRNPDL
U2AF1	MAX
U2AF1	YBX3
U2AF1	CELF1
U2AF1	BAZ2A
U2AF1	NXF1
U2AF1	XPO1
U2AF1	EFTUD2
U2AF1	AHSA1
U2AF1	HNRNPCL1
U2AF1	EIF4A1
U2AF1	NUP133
U2AF1	MKRN1
U2AF1	SMC3
U2AF1	SMC4
U2AF1	RBM10
U2AF1	RBM15
U2AF1	EEF1A1
U2AF1	HMGB1
U2AF1	HINFP
U2AF1	CUL3
U2AF1	DDX17
U2AF1	KPNB1
U2AF1	RBMX
U2AF1	EWSR1
U2AF1	PRPF3
U2AF1	EIF3A
U2AF1	PCF11
U2AF1	CBFB
U2AF1	RFC4
U2AF1	CCNL1
U2AF1	BARD1
U2AF1	TCERG1
U2AF1	BAZ1A
U2AF1	TPR
U2AF1	PHGDH
U2AF1	THOC7
U2AF1	THOC6
U2AF1	THOC5
U2AF1	SNRPD2
U2AF1	SYNCRIP
U2AF1	ZC3H11A
U2AF1	TIAL1
U2AF1	CD2BP2
U2AF1	SYF2
U2AF1	FUS
U2AF1	NCSTN
U2AF1	CCAR1
U2AF1	DDX50
U2AF1	KHSRP
U2AF1	ALYREF
U2AF1	DROSHA
U2AF1	MGA
U2AF1	RALY
U2AF1	SRRT
U2AF1	MCM5
U2AF1	CTCF
U2AF1	SSB
U2AF1	HDAC1
U2AF1	HDAC2
U2AF1	SCYL2
U2AF1	CNBP
U2AF1	CFAP20
U2AF1	SET
U2AF1	HNRNPA3
U2AF1	IGF2BP3
U2AF1	TJP1
U2AF1	RPS3A
U2AF1	RANBP2
U2AF1	ELAVL4
U2AF1	ERCC3
U2AF1	SF3B1
U2AF1	MSH6
U2AF1	SF3B2
U2AF1	EZH2
U2AF1	SMARCA4
U2AF1	SLIRP
U2AF1	XRCC5
U2AF1	AP1B1
U2AF1	EIF5A
U2AF1	CASC3
U2AF1	ABCF1
U2AF1	HNRNPC
U2AF1	DCAF1
U2AF1	WBP4
U2AF1	PRPF4B
U2AF1	CUL7
U2AF1	CWC22
U2AF1	SNRNP200
U2AF1	DNMT1
U2AF1	FGFR2
U2AF1	NUP214
U2AF1	CUL1
U2AF1	LUC7L2
U2AF1	ZNF207
U2AF1	PRMT5
U2AF1	RPL10
U2AF1	SNRPD3
U2AF1	RBBP6
U2AF1	FRA10AC1
U2AF1	EPB41
U2AF1	U2AF2
U2AF1	SRSF2
U2AF1	RBM39
U2AF1	UMPS
U2AF1	SFPQ
U2AF1	PTPN2
U2AF1	TP53
U2AF1	PHF5A
U2AF1	RPS2
U2AF1	RAVER1
U2AF1	RBM8A
U2AF1	GRSF1
U2AF1	IL7R
U2AF1	WBP11
U2AF1	DYRK1A
U2AF1	SF3B3
U2AF1	PSIP1
U2AF1	USP7
U2AF1	NUP50
U2AF1	NUP54
U2AF1	RALYL
U2AF1	SON
U2AF1	RPL29
U2AF1	RPL28
U2AF1	RPL13A
U2AF1	RPL22
U2AF1	ZCCHC8
U2AF1	HNRNPA2B1
U2AF1	MCM7
U2AF1	NOP58
U2AF1	TIA1
U2AF1	DHX16
U2AF1	DHX15
U2AF1	NTRK1
U2AF1	HSP90AB1
U2AF1	SNRNP35
U2AF1	MYC
U2AF1	DDX3X
U2AF1	SUZ12
U2AF1	PTMA
U2AF1	EEF1D
U2AF1	DDX5
U2AF1	DEK
U2AF1	LUC7L
U2AF1	TUBA1C
U2AF1	RAD21
U2AF1	RPL5
U2AF1	PCBP2
U2AF1	RBMX2
U2AF1	PCBP1
U2AF1	STAG2
U2AF1	POLR2D
U2AF1	TAF1
U2AF1	USP10
U2AF1	RBM25
U2AF1	NAP1L1
U2AF1	RRS1
U2AF1	SSBP1
U2AF1	HNRNPH3
U2AF1	TNPO1
U2AF1	NPM1
U2AF1	HNRNPU
U2AF1	HNRNPK
U2AF1	HNRNPL
U2AF1	PABPC1
U2AF1	HNRNPD
U2AF1	PABPC4
U2AF1	CRNKL1
U2AF1	PPIL1
U2AF1	SMU1
U2AF1	RPS13
U2AF1	RPS15
U2AF1	ZRSR2
U2AF1	DHX35
U2AF1	RPIA
U2AF1	RCC1
U2AF1	RPL34
U2AF1	RPL31
U2AF1	EMG1
U2AF2	KHSRP
U2AF2	MOV10
U2AF2	NCBP1
U2AF2	GSK3A
U2AF2	PDCD11
U2AF2	IWS1
U2AF2	SMARCD1
U2AF2	HNRNPDL
U2AF2	IL7R
U2AF2	SH3GL1
U2AF2	EFTUD2
U2AF2	GTF2I
U2AF2	HNRNPCL1
U2AF2	AKT2
U2AF2	PDAP1
U2AF2	POLR2D
U2AF2	PLEC
U2AF2	ATXN1
U2AF2	NUP133
U2AF2	RBM10
U2AF2	RBM15
U2AF2	NUP214
U2AF2	NUMA1
U2AF2	RALY
U2AF2	SRRT
U2AF2	LUC7L2
U2AF2	RBM7
U2AF2	EEF1A1
U2AF2	HMGB1
U2AF2	CTNNB1
U2AF2	ERF
U2AF2	DDX17
U2AF2	QKI
U2AF2	DDX18
U2AF2	PSMC3
U2AF2	TRIM27
U2AF2	KPNB1
U2AF2	SPATA5L1
U2AF2	RBM26
U2AF2	CALR
U2AF2	RBMX
U2AF2	EWSR1
U2AF2	HUWE1
U2AF2	MDM2
U2AF2	PRPF3
U2AF2	SON
U2AF2	EIF3A
U2AF2	EIF3G
U2AF2	PCF11
U2AF2	WT1
U2AF2	BARD1
U2AF2	TCERG1
U2AF2	TPR
U2AF2	PHGDH
U2AF2	THOC7
U2AF2	THOC6
U2AF2	THOC5
U2AF2	MKI67
U2AF2	SYNCRIP
U2AF2	ZC3H11A
U2AF2	ARID1A
U2AF2	WNK1
U2AF2	TIAL1
U2AF2	MAX
U2AF2	ACTB
U2AF2	SYF2
U2AF2	FUS
U2AF2	FUBP1
