gene_a	gene_b
UCHL5	ANLN
UCHL5	USP10
UCHL5	TMEM165
UCHL5	EIF2S2
ATRX	SMG1
ATRX	PIK3CA
ATRX	ZC3H13
ATRX	RNF111
ATRX	VEZF1
ATRX	WDR7
ATRX	CBLB
ATRX	WRN
ATRX	XPA
ATRX	PIK3C2A
ATRX	PIK3C3
ATRX	HNRNPDL
ATRX	AKAP9
ATRX	PTEN
ATRX	CTCF
ATRX	ITGA4
ATRX	CELF1
ATRX	PDS5B
ATRX	BAZ2A
ATRX	BAZ2B
ATRX	XPO1
ATRX	ZNF451
ATRX	CSDE1
ATRX	JAK2
ATRX	JAK1
ATRX	ZNF226
ATRX	BRCC3
ATRX	BLM
ATRX	CUX1
ATRX	RPS6KA3
ATRX	PSIP1
ATRX	WDFY3
ATRX	PRDM2
ATRX	ATXN3
ATRX	ZNF292
ATRX	GIGYF2
ATRX	SMAD4
ATRX	SMAD2
ATRX	TLE4
ATRX	AKAP13
ATRX	TSC1
ATRX	NCOA2
ATRX	SMC3
ATRX	NEDD4
ATRX	SMC4
ATRX	LEF1
ATRX	ZNF638
ATRX	CTNNB1
ATRX	DDX17
ATRX	TOB1
ATRX	C2CD5
ATRX	DPYD
ATRX	CDK13
ATRX	DDX18
ATRX	ETNK1
ATRX	CNOT3
ATRX	CNOT1
ATRX	EPS15
ATRX	MDC1
ATRX	NSD1
ATRX	TRIP12
ATRX	DMXL2
ATRX	OSBPL8
ATRX	ANK2
ATRX	ANK3
ATRX	PNN
ATRX	RAD17
ATRX	HUWE1
ATRX	CDK14
ATRX	USP25
ATRX	SETD2
ATRX	ARHGEF3
ATRX	PCF11
ATRX	DYRK1A
ATRX	WT1
ATRX	BAZ1A
ATRX	REV3L
ATRX	STAG2
ATRX	CYLD
ATRX	APC
ATRX	ADNP
ATRX	FUBP1
ATRX	KMT2A
ATRX	SMARCE1
ATRX	LAMB1
ATRX	KAT7
ATRX	DHX36
ATRX	EIF4A2
ATRX	GCC2
ATRX	MLLT10
ATRX	MGA
ATRX	TBP
ATRX	MEF2C
ATRX	NSD2
ATRX	CLK4
ATRX	CREBBP
ATRX	HDAC1
ATRX	HDAC2
ATRX	IQGAP1
ATRX	ATM
ATRX	RFC1
ATRX	ATR
ATRX	FBXW7
ATRX	PDS5A
ATRX	DMXL1
ATRX	BBX
ATRX	PRKDC
ATRX	E2F3
ATRX	EP300
ATRX	IRS1
ATRX	RANBP2
ATRX	SETBP1
ATRX	MSH2
ATRX	USP7
ATRX	SMARCA1
ATRX	IQGAP2
ATRX	FYN
ATRX	RB1
ATRX	CDYL
ATRX	MED13
ATRX	SUZ12
ATRX	CDC5L
ATRX	PARP2
ATRX	DDX20
ATRX	NOTCH2
ATRX	NKTR
ATRX	GOLGB1
ATRX	KAT6B
ATRX	KAT6A
ATRX	BPTF
ATRX	ZFX
ATRX	ADD3
ATRX	WWP1
ATRX	FBXO11
ATRX	PRPF4B
ATRX	ATF7IP
ATRX	MAN2A1
ATRX	BCLAF1
ATRX	CUL1
ATRX	LUC7L2
ATRX	TRIM28
ATRX	NF1
ATRX	TRIM24
ATRX	JMJD1C
ATRX	CREB1
ATRX	TRIM23
ATRX	GPATCH8
ATRX	MAN1A2
ATRX	RBBP6
ATRX	ZBTB20
ATRX	TNRC6B
ATRX	MED23
ATRX	SETDB1
ATRX	XRCC5
ATRX	DAXX
ATRX	PPM1D
ATRX	SRSF1
ATRX	RBM39
ATRX	NUP133
ATRX	TRRAP
ATRX	HERC1
ATRX	HERC2
ATRX	PTPN2
ATRX	TP53
ATRX	ERBIN
ATRX	ARHGEF6
ATRX	PHF3
ATRX	PPP2R5C
ATRX	USP8
ATRX	SEC14L1
ATRX	RSBN1
ATRX	MARK3
ATRX	MSH3
ATRX	SF3B1
ATRX	WAC
ATRX	TPR
ATRX	ERCC5
ATRX	EZH1
ATRX	TBL1XR1
ATRX	EIF2AK1
ATRX	SNRK
ATRX	UBE2A
ATRX	EZH2
ATRX	SON
ATRX	PPIG
ATRX	ZMIZ1
ATRX	BIRC6
ATRX	USP9X
ATRX	FMR1
ATRX	ANKRD17
ATRX	RB1CC1
ATRX	ANKRD12
ATRX	NAP1L1
ATRX	MLLT3
ATRX	NIPBL
ATRX	SPOP
ATRX	FLI1
ATRX	TP53BP1
ATRX	NUMB
ATRX	ZNF711
ATRX	ATXN1
ATRX	PICALM
ATRX	HECTD1
ATRX	AKT3
ATRX	PMS1
ATRX	RREB1
ATRX	RBPJ
ATRX	DDX3X
ATRX	KRAS
ATRX	DDX5
ATRX	KDM5A
ATRX	ANKRD50
ATRX	TRIM33
ATRX	PCM1
ATRX	MACF1
ATRX	PHF21A
ATRX	DEK
ATRX	CHD1
ATRX	PTN
ATRX	IGF2R
ATRX	CHD5
ATRX	CHD4
ATRX	LRRK2
ATRX	CHD9
ATRX	UBXN7
ATRX	SMC1A
ATRX	ZMYM2
ATRX	STAG1
ATRX	HDAC9
ATRX	CDC27
ATRX	RBM26
ATRX	RBM25
ATRX	ASCC3
ATRX	AGO4
ATRX	RAD23B
ATRX	ZNF217
ATRX	POT1
ATRX	NCOR1
ATRX	SCAPER
ATRX	TBK1
ATRX	HNRNPU
ATRX	POLD1
ATRX	KDM6A
ATRX	NBN
ATRX	PHIP
ATRX	PML
ATRX	ASH1L
ATRX	SYNE2
ATRX	CRNKL1
ATRX	DICER1
ATRX	SOS1
ATRX	ZNF131
ATRX	HIVEP1
ATRX	ADAM10
ATRX	CUL4B
ATRX	VPS13B
ATRX	NR3C1
ATRX	CLASP2
ATRX	CLASP1
ATRX	RAD21
ATRX	AR
ATRX	SNRPN
ATRX	G3BP2
FHIT	CTNNB1
FHIT	REL
FHIT	FDXR
FHIT	SMARCA4
FHIT	DNMT1
FHIT	JUN
FHIT	DNMT3B
FHIT	SRC
FHIT	DNMT3A
FHIT	ERBB4
FHIT	MGMT
FHIT	LEF1
FHIT	TP53
FHIT	ESR1
FHIT	TRIM23
FHIT	HNF4A
FHIT	PTPRD
FHIT	MDM2
SPN	MLLT1
SPN	B2M
SPN	RREB1
SPN	PRB4
SPN	PIK3CG
SPN	WAS
SPN	PRKG1
SPN	JAK3
SPN	CD28
SPN	MUC4
SPN	GYPC
SPN	GATA2
SPN	GATA1
SPN	RUNX1
SPN	TLR9
SPN	ITGA4
SPN	DAXX
SPN	TMPRSS11D
SPN	TNFRSF8
SPN	PTGDR2
SPN	CR1
SPN	IRF5
SPN	ESR1
SPN	VAV1
SPN	CD74
SPN	CD79B
SPN	SPI1
SPN	ICAM3
SPN	TAL1
SPN	IKZF1
SPN	LTK
SPN	LGALS1
SPN	DICER1
SPN	ALK
SPN	IL2RG
SPN	IRF4
SPN	CTNNB1
SPN	MSN
SPN	FYN
SPN	GATA3
SPN	TNF
SPN	EBF1
SPN	TCL1A
SPN	EZR
SPN	SIGLEC8
RNF111	LEMD3
RNF111	CDC73
RNF111	PIK3CA
RNF111	VEZF1
RNF111	CBLB
RNF111	C2CD5
RNF111	NUP98
RNF111	XPC
RNF111	XPA
RNF111	OSBPL8
RNF111	ATXN1
RNF111	PTEN
RNF111	TCF12
RNF111	CDKN1B
RNF111	RPS27A
RNF111	PDS5A
RNF111	PDS5B
RNF111	BAZ2B
RNF111	ZNF451
RNF111	CSDE1
RNF111	CSNK2A1
RNF111	GTF2B
RNF111	RSBN1L
RNF111	JAK1
RNF111	SMG1
RNF111	RPS6KA3
RNF111	ITGAV
RNF111	ZNF292
RNF111	GIGYF2
RNF111	SMAD4
RNF111	SMAD6
RNF111	SMAD2
RNF111	SMAD3
RNF111	MKRN1
RNF111	AKAP11
RNF111	IGF2R
RNF111	NEDD4
RNF111	DDB2
RNF111	PRKAR1A
RNF111	RNF20
RNF111	EIF1AX
RNF111	ZNF638
RNF111	USP9X
RNF111	IRAK4
RNF111	CPEB3
RNF111	EPS15
RNF111	QKI
RNF111	ETNK1
RNF111	ARIH1
RNF111	SH3GLB1
RNF111	CREB1
RNF111	TRIP12
RNF111	LCE4A
RNF111	PIK3C2A
RNF111	FAM126B
RNF111	TNRC6B
RNF111	PRPF3
RNF111	NFE2L2
RNF111	ANKRD13A
RNF111	ARHGEF3
RNF111	PCF11
RNF111	DYRK1A
RNF111	NABP1
RNF111	BAZ1A
RNF111	ZC3H11A
RNF111	RFX7
RNF111	TRAIP
RNF111	RNF185
RNF111	ZNF143
RNF111	RNF103
RNF111	APC
RNF111	LEPROTL1
RNF111	SHPRH
RNF111	NCOR2
RNF111	GCC2
RNF111	DNAJB9
RNF111	MGA
RNF111	CEP170
RNF111	CDC37L1
RNF111	CLK4
RNF111	TCERG1
RNF111	ATR
RNF111	FANCF
RNF111	RANBP6
RNF111	RAB14
RNF111	TGFBR1
RNF111	TET2
RNF111	TMEM30A
RNF111	UBE2D1
RNF111	ASXL2
RNF111	FBXO28
RNF111	NSMCE2
RNF111	EXOC8
RNF111	KTN1
RNF111	ERCC2
RNF111	ERCC3
RNF111	IQGAP1
RNF111	LRIG2
RNF111	AXIN2
RNF111	AXIN1
RNF111	CBL
RNF111	MED13
RNF111	RUFY1
RNF111	ABI1
RNF111	NCOA3
RNF111	NOTCH2
RNF111	CUL4B
RNF111	KAT6A
RNF111	BPTF
RNF111	ADD3
RNF111	UBE2J2
RNF111	WWP1
RNF111	FBXO11
RNF111	PRPF4B
RNF111	DCK
RNF111	MAP3K1
RNF111	RPGR
RNF111	CUL3
RNF111	GPATCH8
RNF111	SETD7
RNF111	NIN
RNF111	RNF213
RNF111	MED23
RNF111	ARHGAP5
RNF111	RICTOR
RNF111	SKI
RNF111	USP25
RNF111	SMURF2
RNF111	SUPT7L
RNF111	JMJD1C
RNF111	PARP2
RNF111	HERC1
RNF111	HERC2
RNF111	PTPN2
RNF111	GNAQ
RNF111	UBE2A
RNF111	ERBIN
RNF111	PHF3
RNF111	PPP2R5C
RNF111	USP8
RNF111	FBXO9
RNF111	RSBN1
RNF111	THRAP3
RNF111	WAC
RNF111	TBL1XR1
RNF111	EIF2AK3
RNF111	TDG
RNF111	SON
RNF111	MAML1
RNF111	MAP4K3
RNF111	BIRC6
RNF111	MAP2K1
RNF111	KRCC1
RNF111	MAP2K4
RNF111	FMR1
RNF111	ANKRD17
RNF111	RB1CC1
RNF111	ANKRD12
RNF111	ATG3
RNF111	NIPBL
RNF111	KMT2A
RNF111	PRDM2
RNF111	ZNF131
RNF111	NUMB
RNF111	RNFT1
RNF111	TIA1
RNF111	REV3L
RNF111	PICALM
RNF111	UBR3
RNF111	UBR1
RNF111	TPX2
RNF111	RBPJ
RNF111	CDYL
RNF111	DMXL1
RNF111	HDAC2
RNF111	UBR5
RNF111	KRAS
RNF111	RLIM
RNF111	XRN1
RNF111	RNF4
RNF111	RYBP
RNF111	ANKRD50
RNF111	TRIM33
RNF111	TRIM37
RNF111	INO80
RNF111	THAP12
RNF111	LRRK2
RNF111	SLC35A5
RNF111	UBXN7
RNF111	UBB
RNF111	STAG2
RNF111	STAG1
RNF111	HSP90AB1
RNF111	CDC23
RNF111	RBM27
RNF111	RBM25
RNF111	RANBP2
RNF111	RAD23B
RNF111	NDEL1
RNF111	ZNF217
RNF111	NCOR1
RNF111	ADNP
RNF111	TBK1
RNF111	PHIP
RNF111	PML
RNF111	ASH1L
RNF111	WAPL
RNF111	CRNKL1
RNF111	SOS1
RNF111	PKD2
RNF111	HIVEP1
RNF111	ADAM10
RNF111	EED
RNF111	AVL9
RNF111	LONRF1
RNF111	CHD1
RNF111	NR3C1
RNF111	TRAF5
RNF111	CLASP1
RNF111	USP16
RNF111	RASA1
RNF111	RNF168
RNF111	TTC21B
RNF111	CHD9
RNF111	CHD8
RNF111	ATF1
ZC3H18	MOV10
ZC3H18	PRPF4B
ZC3H18	SF1
ZC3H18	RBM15B
ZC3H18	SNRNP200
ZC3H18	NTRK1
ZC3H18	HSP90AB1
ZC3H18	ZC3H13
ZC3H18	MYC
ZC3H18	LUC7L2
ZC3H18	GPATCH8
ZC3H18	BRD4
ZC3H18	ZC3H11A
ZC3H18	SNRPD2
